ocel_event_id;ocel_object_id;ocel_qualifier
14555_leave_Supplier_tr5;tr5;moved_object
14555_leave_Supplier_tr5;loc_Supplier;location
pick_cr13_complete;cr13;CR picked
pick_cr13_complete;tr5;TR moved
14556_enter_Supplier_tr3;tr3;moved_object
14556_enter_Supplier_tr3;loc_Supplier;location
14557_leave_Supplier_tr3;tr3;moved_object
14557_leave_Supplier_tr3;loc_Supplier;location
pick_cr9_complete;cr9;CR picked
pick_cr9_complete;tr3;TR moved
14558_enter_Supplier Loading Area_tr6;tr6;moved_object
14558_enter_Supplier Loading Area_tr6;loc_Supplier_Loading_Area;location
14559_enter_Supplier Loading Area_cr16;cr16;moved_object
14559_enter_Supplier Loading Area_cr16;loc_Supplier_Loading_Area;location
collect_hu34_complete;hu34;HU collected
14560_enter_Supplier Loading Area_tr4;tr4;moved_object
14560_enter_Supplier Loading Area_tr4;loc_Supplier_Loading_Area;location
14561_enter_Supplier Loading Area_cr12;cr12;moved_object
14561_enter_Supplier Loading Area_cr12;loc_Supplier_Loading_Area;location
collect_hu32_complete;hu32;HU collected
load_truck_hu34_complete;hu34;HU loaded
load_truck_hu34_complete;cr12;CR laded
load_truck_hu34_complete;tr4;TR laded
14562_enter_Supplier Loading Area_tr5;tr5;moved_object
14562_enter_Supplier Loading Area_tr5;loc_Supplier_Loading_Area;location
14563_enter_Supplier Loading Area_cr13;cr13;moved_object
14563_enter_Supplier Loading Area_cr13;loc_Supplier_Loading_Area;location
14564_enter_Supplier Loading Area_tr3;tr3;moved_object
14564_enter_Supplier Loading Area_tr3;loc_Supplier_Loading_Area;location
14565_enter_Supplier Loading Area_cr9;cr9;moved_object
14565_enter_Supplier Loading Area_cr9;loc_Supplier_Loading_Area;location
load_truck_hu17_complete;hu17;HU loaded
load_truck_hu17_complete;cr9;CR laded
load_truck_hu17_complete;tr3;TR laded
load_truck_hu20_complete;hu20;HU loaded
load_truck_hu20_complete;cr9;CR laded
load_truck_hu20_complete;tr3;TR laded
create_td5;co6;TD created for CO
create_td5;td5;created TD
load_truck_hu32_complete;hu32;HU loaded
load_truck_hu32_complete;cr16;CR laded
load_truck_hu32_complete;tr6;TR laded
collect_hu37_complete;hu37;HU collected
book_vehs_td5;td5;VHs booked for TD
book_vehs_td5;vh5;booked VHs
load_truck_hu37_complete;hu37;HU loaded
load_truck_hu37_complete;cr12;CR laded
load_truck_hu37_complete;tr4;TR laded
collect_hu25_complete;hu25;HU collected
reg_co10;co10;registered CO
collect_hu15_complete;hu15;HU collected
