ocel_source_id;ocel_target_id;ocel_qualifier
cr126;hu583;CR contains HU
cr86;hu568;CR contains HU
co42;td38;TD for CO
cr102;hu574;CR contains HU
cr102;hu575;CR contains HU
cr102;hu578;CR contains HU
cr102;hu576;CR contains HU
cr102;hu579;CR contains HU
cr133;td37;CR for TD
cr131;td37;CR for TD
cr132;td37;CR for TD
td38;vh11;Regular VH for TD
tr3;cr133;TR loads CR
cr126;hu584;CR contains HU
cr86;hu572;CR contains HU
cr86;hu570;CR contains HU
cr133;hu587;CR contains HU
cr126;hu585;CR contains HU
cr86;hu573;CR contains HU
cr89;hu563;CR contains HU
cr126;hu580;CR contains HU
cr89;hu562;CR contains HU
cr86;hu571;CR contains HU
cr126;hu581;CR contains HU
cr126;hu582;CR contains HU
cr102;hu577;CR contains HU
cr89;hu564;CR contains HU
cr133;hu586;CR contains HU
cr89;hu567;CR contains HU
tr2;cr130;TR loads CR
cr130;hu588;CR contains HU
cr130;hu590;CR contains HU
cr130;hu589;CR contains HU
cr134;td38;CR for TD
cr135;td38;CR for TD
cr136;td38;CR for TD
cr137;td38;CR for TD
co36;td39;TD for CO
tr2;cr116;TR loads CR
tr3;cr112;TR loads CR
cr116;hu596;CR contains HU
cr116;hu592;CR contains HU
cr112;hu599;CR contains HU
tr6;cr64;TR loads CR
cr116;hu593;CR contains HU
td39;vh14;Regular VH for TD
cr112;hu598;CR contains HU
cr112;hu601;CR contains HU
cr116;hu594;CR contains HU
cr116;hu595;CR contains HU
cr112;hu597;CR contains HU
cr112;hu602;CR contains HU
cr112;hu600;CR contains HU
cr116;hu591;CR contains HU
tr3;cr115;TR loads CR
